"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deve garantir que múltiplas chamadas PUT com o mesmo payload resultem no mesmo estado","2574","deveGarantirIdempotenciaAoAtualizarReserva()","","Wed Mar 11 13:08:47 UTC 2026","passed","Wed Mar 11 13:08:50 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveGarantirIdempotenciaAoAtualizarReserva"
"Deve garantir que múltiplas requisições de exclusão para o mesmo ID não gerem erros internos","758","deveValidarIdempotenciaAoExcluirReserva()","","Wed Mar 11 13:08:55 UTC 2026","passed","Wed Mar 11 13:08:56 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveValidarIdempotenciaAoExcluirReserva"
"Deve retornar 403 Forbidden ao tentar excluir uma reserva aleatória com token inválido","647","deveRetornarErroAoExcluirSemToken()","","Wed Mar 11 13:08:54 UTC 2026","passed","Wed Mar 11 13:08:55 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveRetornarErroAoExcluirSemToken"
"Deve criar uma reserva com Faker, excluí-la e confirmar que ela sumiu","673","deveExcluirReservaComSucesso()","","Wed Mar 11 13:08:56 UTC 2026","passed","Wed Mar 11 13:08:57 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveExcluirReservaComSucesso"
"Deve retornar erro 404 ao buscar um ID aleatório que não existe","198","deveRetornarErroAoBuscarIdInexistente()","","Wed Mar 11 13:08:52 UTC 2026","passed","Wed Mar 11 13:08:52 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveRetornarErroAoBuscarIdInexistente"
"Deve atualizar todos os campos de uma reserva e validar o contrato","772","deveAtualizarReservaComSucesso()","","Wed Mar 11 13:08:50 UTC 2026","passed","Wed Mar 11 13:08:51 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveAtualizarReservaComSucesso"
"Deve filtrar a busca por nome e validar o contrato da lista retornada","480","deveBuscarBookingsPorNome()","","Wed Mar 11 13:08:52 UTC 2026","passed","Wed Mar 11 13:08:53 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarBookingsPorNome"
"","283","Validar Health Check da API (Ping)","","Wed Mar 11 13:08:57 UTC 2026","passed","Wed Mar 11 13:08:57 UTC 2026","","Testes de Disponibilidade","br.com.desafio.tests.HealthCheckTest","deveVerificarSaudeDaApi"
"Deve retornar 403 (Forbidden) ao tentar atualizar com token inválido","444","deveRetornarErroAoAtualizarSemToken()","","Wed Mar 11 13:08:50 UTC 2026","passed","Wed Mar 11 13:08:50 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveRetornarErroAoAtualizarSemToken"
"Valida contrato e dados da reserva com validações encadeadas","307","deveCriarReservaComSucesso()","","Wed Mar 11 13:08:53 UTC 2026","passed","Wed Mar 11 13:08:53 UTC 2026","","Testes de Criação de Reserva","br.com.desafio.tests.BookingPostTest","deveCriarReservaComSucesso"
"Deve tentar excluir um ID que não existe e validar a resposta de erro","380","deveRetornarErroAoExcluirReservaInexistente()","","Wed Mar 11 13:08:55 UTC 2026","passed","Wed Mar 11 13:08:55 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveRetornarErroAoExcluirReservaInexistente"
"Deve alterar apenas o nome e sobrenome e validar o contrato e integridade dos dados","465","deveAtualizarNomeESobrenomeParcialmente()","","Wed Mar 11 13:08:54 UTC 2026","passed","Wed Mar 11 13:08:54 UTC 2026","","Testes de Atualização Parcial (PATCH)","br.com.desafio.tests.BookingPatchTest","deveAtualizarNomeESobrenomeParcialmente"
"Deve retornar a lista de todos os booking IDs e validar o contrato","531","deveBuscarTodosOsBookings()","","Wed Mar 11 13:08:52 UTC 2026","passed","Wed Mar 11 13:08:52 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarTodosOsBookings"
"Deve criar uma reserva com Faker e buscá-la pelo ID para validar os detalhes","425","deveBuscarReservaPorId()","","Wed Mar 11 13:08:51 UTC 2026","passed","Wed Mar 11 13:08:52 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarReservaPorId"
