"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deve criar uma reserva com Faker, excluí-la e confirmar que ela sumiu","184","deveExcluirReservaComSucesso()","","Fri Mar 06 20:11:00 UTC 2026","passed","Fri Mar 06 20:11:00 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveExcluirReservaComSucesso"
"Deve retornar 403 Forbidden ao tentar excluir uma reserva aleatória com token inválido","174","deveRetornarErroAoExcluirSemToken()","","Fri Mar 06 20:11:00 UTC 2026","passed","Fri Mar 06 20:11:00 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveRetornarErroAoExcluirSemToken"
"Deve criar uma reserva com Faker e buscá-la pelo ID para validar os detalhes","168","deveBuscarReservaPorId()","","Fri Mar 06 20:10:59 UTC 2026","passed","Fri Mar 06 20:10:59 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarReservaPorId"
"Deve retornar erro 404 ao buscar um ID aleatório que não existe","46","deveRetornarErroAoBuscarIdInexistente()","","Fri Mar 06 20:10:59 UTC 2026","passed","Fri Mar 06 20:10:59 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveRetornarErroAoBuscarIdInexistente"
"Deve filtrar a busca por nome e validar o contrato da lista retornada","99","deveBuscarBookingsPorNome()","","Fri Mar 06 20:10:59 UTC 2026","passed","Fri Mar 06 20:10:59 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarBookingsPorNome"
"Deve retornar 403 (Forbidden) ao tentar atualizar com token inválido","1561","deveRetornarErroAoAtualizarSemToken()","","Fri Mar 06 20:10:57 UTC 2026","passed","Fri Mar 06 20:10:58 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveRetornarErroAoAtualizarSemToken"
"Deve atualizar todos os campos de uma reserva e validar o contrato","720","deveAtualizarReservaComSucesso()","","Fri Mar 06 20:10:58 UTC 2026","passed","Fri Mar 06 20:10:59 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveAtualizarReservaComSucesso"
"Deve alterar apenas o nome e sobrenome e validar o contrato e integridade dos dados","169","deveAtualizarNomeESobrenomeParcialmente()","","Fri Mar 06 20:11:00 UTC 2026","passed","Fri Mar 06 20:11:00 UTC 2026","","Testes de Atualização Parcial (PATCH)","br.com.desafio.tests.BookingPatchTest","deveAtualizarNomeESobrenomeParcialmente"
"","172","Validar Health Check da API (Ping)","","Fri Mar 06 20:11:00 UTC 2026","passed","Fri Mar 06 20:11:01 UTC 2026","","Testes de Disponibilidade","br.com.desafio.tests.HealthCheckTest","deveVerificarSaudeDaApi"
"Deve retornar a lista de todos os booking IDs e validar o contrato","123","deveBuscarTodosOsBookings()","","Fri Mar 06 20:10:59 UTC 2026","passed","Fri Mar 06 20:10:59 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarTodosOsBookings"
"Valida contrato e dados da reserva com validações encadeadas","124","deveCriarReservaComSucesso()","","Fri Mar 06 20:10:59 UTC 2026","passed","Fri Mar 06 20:11:00 UTC 2026","","Testes de Criação de Reserva","br.com.desafio.tests.BookingPostTest","deveCriarReservaComSucesso"
