"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deve criar uma reserva com Faker, excluí-la e confirmar que ela sumiu","891","deveExcluirReservaComSucesso()","","Tue Feb 10 13:42:05 UTC 2026","passed","Tue Feb 10 13:42:05 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveExcluirReservaComSucesso"
"Deve criar uma reserva com Faker e filtrar a busca por esse nome e sobrenome","620","deveBuscarBookingsPorNome()","","Tue Feb 10 13:42:11 UTC 2026","passed","Tue Feb 10 13:42:11 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarBookingsPorNome"
"Deve criar uma nova reserva usando Faker e validar se os dados retornados são os mesmos enviados","752","deveCriarReservaComSucesso()","","Tue Feb 10 13:42:02 UTC 2026","passed","Tue Feb 10 13:42:03 UTC 2026","","Testes de Criação de Reserva","br.com.desafio.tests.BookingPostTest","deveCriarReservaComSucesso"
"Deve retornar 403 (Forbidden) ao tentar atualizar usando dados Faker mas com token inválido","298","deveRetornarErroAoAtualizarSemToken()","","Tue Feb 10 13:42:07 UTC 2026","passed","Tue Feb 10 13:42:08 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveRetornarErroAoAtualizarSemToken"
"Deve atualizar todos os campos de uma reserva usando Faker e validar o retorno","650","deveAtualizarReservaComSucesso()","","Tue Feb 10 13:42:08 UTC 2026","passed","Tue Feb 10 13:42:08 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveAtualizarReservaComSucesso"
"Deve alterar apenas o nome e sobrenome usando Faker e validar a integridade dos outros campos","707","deveAtualizarNomeESobrenomeParcialmente()","","Tue Feb 10 13:42:06 UTC 2026","passed","Tue Feb 10 13:42:07 UTC 2026","","Testes de Atualização Parcial (PATCH)","br.com.desafio.tests.BookingPatchTest","deveAtualizarNomeESobrenomeParcialmente"
"","294","Validar Health Check da API (Ping)","","Tue Feb 10 13:42:12 UTC 2026","passed","Tue Feb 10 13:42:12 UTC 2026","","Testes de Disponibilidade","br.com.desafio.tests.HealthCheckTest","deveVerificarSaudeDaApi"
"Deve retornar erro 404 ao buscar um ID aleatório que não existe","295","deveRetornarErroAoBuscarIdInexistente()","","Tue Feb 10 13:42:10 UTC 2026","passed","Tue Feb 10 13:42:11 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveRetornarErroAoBuscarIdInexistente"
"Deve retornar a lista de todos os booking IDs cadastrados","511","deveBuscarTodosOsBookings()","","Tue Feb 10 13:42:10 UTC 2026","passed","Tue Feb 10 13:42:10 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarTodosOsBookings"
"Deve criar uma reserva com Faker e buscá-la pelo ID para validar os detalhes","677","deveBuscarReservaPorId()","","Tue Feb 10 13:42:09 UTC 2026","passed","Tue Feb 10 13:42:10 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarReservaPorId"
"Deve retornar 403 Forbidden ao tentar excluir uma reserva aleatória com token inválido","735","deveRetornarErroAoExcluirSemToken()","","Tue Feb 10 13:42:04 UTC 2026","passed","Tue Feb 10 13:42:05 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveRetornarErroAoExcluirSemToken"
