"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida contrato e dados da reserva sem interromper no primeiro erro","407","deveCriarReservaComSucesso()","","Thu Feb 26 14:37:31 UTC 2026","passed","Thu Feb 26 14:37:32 UTC 2026","","Testes de Criação de Reserva","br.com.desafio.tests.BookingPostTest","deveCriarReservaComSucesso"
"Deve criar uma reserva com Faker, excluí-la e confirmar que ela sumiu","799","deveExcluirReservaComSucesso()","","Thu Feb 26 14:37:33 UTC 2026","passed","Thu Feb 26 14:37:34 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveExcluirReservaComSucesso"
"Deve filtrar a busca por nome e validar o contrato da lista retornada","532","deveBuscarBookingsPorNome()","","Thu Feb 26 14:37:30 UTC 2026","passed","Thu Feb 26 14:37:31 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarBookingsPorNome"
"","242","Validar Health Check da API (Ping)","","Thu Feb 26 14:37:34 UTC 2026","passed","Thu Feb 26 14:37:35 UTC 2026","","Testes de Disponibilidade","br.com.desafio.tests.HealthCheckTest","deveVerificarSaudeDaApi"
"Deve alterar apenas o nome e sobrenome e validar o contrato e integridade dos dados","514","deveAtualizarNomeESobrenomeParcialmente()","","Thu Feb 26 14:37:32 UTC 2026","broken","Thu Feb 26 14:37:32 UTC 2026","","Testes de Atualização Parcial (PATCH)","br.com.desafio.tests.BookingPatchTest","deveAtualizarNomeESobrenomeParcialmente"
"Deve retornar 403 (Forbidden) ao tentar atualizar com token inválido","2127","deveRetornarErroAoAtualizarSemToken()","","Thu Feb 26 14:37:24 UTC 2026","passed","Thu Feb 26 14:37:26 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveRetornarErroAoAtualizarSemToken"
"Deve retornar 403 Forbidden ao tentar excluir uma reserva aleatória com token inválido","696","deveRetornarErroAoExcluirSemToken()","","Thu Feb 26 14:37:33 UTC 2026","passed","Thu Feb 26 14:37:33 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveRetornarErroAoExcluirSemToken"
"Deve retornar a lista de todos os booking IDs e validar o contrato","1052","deveBuscarTodosOsBookings()","","Thu Feb 26 14:37:29 UTC 2026","passed","Thu Feb 26 14:37:30 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarTodosOsBookings"
"Deve retornar erro 404 ao buscar um ID aleatório que não existe","245","deveRetornarErroAoBuscarIdInexistente()","","Thu Feb 26 14:37:30 UTC 2026","passed","Thu Feb 26 14:37:30 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveRetornarErroAoBuscarIdInexistente"
"Deve atualizar todos os campos de uma reserva e validar o contrato","2343","deveAtualizarReservaComSucesso()","","Thu Feb 26 14:37:26 UTC 2026","passed","Thu Feb 26 14:37:28 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveAtualizarReservaComSucesso"
"Deve criar uma reserva com Faker e buscá-la pelo ID para validar os detalhes","591","deveBuscarReservaPorId()","","Thu Feb 26 14:37:29 UTC 2026","passed","Thu Feb 26 14:37:29 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarReservaPorId"
